id_number,link,doi,title,year,country,place_name,latitude,longitude,indicator,sub_indicator,study_type,study_duration,nbs_type,nbs_setting,nbs_scale,nbs_effect
1,https://onlinelibrary-wiley-com.elib.tcd.ie/doi/pdfdirect/10.1002/rra.3507, https://doi.org/10.1002/rra.3507,Communicating (nature-based) flood-mitigation schemes using flood-excess volume,2019,UK,Mytholmroyd,53.7305,-1.9817,Water,Flooding,Measurement,Days,Water Structure,Rural,Single,"slow down the flow by increasing flood depths, in places where this is deemed acceptable, thus reducing flood peaks further downstream at critical locations"
1,,,,,France,Biot,43.6294,7.0961,,,,,,,,
2,https://www.actahort.org/books/1215/1215_2.htm,https://doi.org/10.17660/ActaHortic.2018.1215.2,Urban green technologies for energy saving: numerical simulation of heat transfer between green façades and green roofs and the local outdoor environment,2017,Italy,Bologna,44.5075,11.3514,Heat,Thermal Comfort,Modelling,N/A,Green Façade,Urban,Single,"thermal insulation, heat island effect reduction and in general energy saving at building and district scale"
2,,,,,,,,,,,,,Green Roof,,,
3,https://link-springer-com.elib.tcd.ie/content/pdf/10.1007/s11368-020-02731-y.pdf,https://doi.org/10.1007/s11368-020-02731-y,Simplified performance assessment methodology for addressing soil quality of nature-based solutions,2020,France,Nantes,47.2181,-1.5528,Water,Flooding,Measurement,Years,Green Space,Urban,Many,Regulation of local climate and storm water regulation; contribution to urban biodiversity; increase organic carbon concentration; restore soil fertility
3,,,,,France,Nancy,48.6908,6.1825,Other,Ecology,,,Green Roof,,,
3,,,,,Czech Republic,Buštěhrad,50.1553,14.1886,,,,,,,,
4,Assessing allergenicity in urban parks: A nature-based solution to reduce the impact on public health - ScienceDirect (tcd.ie),https://doi.org/10.1016/j.envres.2017.02.015,Assessing allergenicity in urban parks: A nature-based solution to reduce the impact on public health,2017,Spain,Madrid,40.4167,-3.7003,Other,Other,Measurement,N/A,Green Space,Urban,Single,"1.The lack of correlation with other conventional variables used in landscape designs.
2. It can be used as a tool in environmental analysis.
3.Complies with principle of scalability"
5,Cork as a sustainable carbon source for nature-based solutions treating hydroponic wastewaters – Preliminary batch studies - ScienceDirect (tcd.ie),https://doi.org/10.1016/j.scitotenv.2018.08.365,Cork as a sustainable carbon source for nature-based solutions treating hydroponic wastewaters - Preliminary batch studies,2019,Denmark,Aarhus,56.1572,10.2107,Water,Water Quality,Experiment,Days,Other,Urban,Single,"1. Variance on the content of suberin across species.
2.The PZC of cork was between pH 5 and 6."
6, Nature-Based Solution along High-Energy Eroding Sandy Coasts: Preliminary Tests on the Reinstatement of Natural Dynamics in Reprofiled Coastal Dunes (researchgate.net),https://doi.org/10.3390/w11122518,Nature-Based Solution along High-Energy Eroding Sandy Coasts: Preliminary Tests on the Reinstatement of Natural Dynamics in Reprofiled Coastal Dunes,2019,France,Bordeaux,44.8350,-0.5755,Other,Erosion,Experiment,Years,Vegetation,Urban,Single,"1. The interannual variability in vegetation dynamics could affect blowout growth.
2. The area of bare sand landward of the elongated of notches increased and the notch floor remained nonvegetated implying a loss of vegetation cover."
7,The reduction of Chlorella vulgaris concentrations through UV-C radiation treatments: A nature-based solution (NBS) - ScienceDirect (tcd.ie),https://doi.org/10.1016/j.envres.2017.03.007,The reduction of Chlorella vulgaris concentrations through UV-C radiation treatments: A nature-based solution (NBS),2017,USA,Grand Rapids,42.9655,-85.6702,Other,Other,Measurement,Hours,Other,Urban,Single,"1. The 30W UV-C radiation had a stronger effect than the 15W UV-C radiation on reducing algal concentration.
2.UV-C had the greatest impact on SP2 samples"
8,Do green spaces affect the spatiotemporal changes of PM 2.5 in Nanjing? | Ecological Processes | Full Text (springeropen.com),https://doi.org/10.1186/s13717-016-0052-6,Do green spaces affect the spatiotemporal changes of PM2.5 in Nanjing?,2016,China,Nanjing,32.0500,118.7667,Air,Particulate Matter,Measurement,Years,Green Space,Urban,Many,"Reduce Respiratory Diseases, Improve Ambient Air Quality"
9,https://www-sciencedirect-com.elib.tcd.ie/science/article/pii/S0360132320305515?via%3Dihub,https://doi.org/10.1016/j.buildenv.2020.107179,Analysis of potential benefits on flood mitigation of a CAM green roof in Mediterranean urban areas ,2020,Italy,Cagliari,39.2500,9.0500,Water,Flooding,Modelling,Years,Green Roof,Urban,Single,"Reducing runoff, increase biodiversity, energy savings, reduce pollution, aesthetically pleasant"
10,https://www.sciencedirect.com/science/article/abs/pii/S0044848619326195,https://doi.org/10.1016/j.aquaculture.2020.735502,Seagrass meadows improve inflowing water quality in aquaculture ponds ,2020,Portugal,Tavira,37.1258,-7.6498,Water,Water Quality,Measurement,Months,Vegetation,Coastal,Single,"Increase water quality, increase biodiversity"
11,https://doi.org/10.1002/ldr.3113,https://doi.org/10.1002/ldr.3113,Multi-functionality of nature-based and other urban sustainability solutions: New York City study,2018,USA,Manhattan,40.7903,-73.9597,Water,Other,Measurement,Years,Green Roof,Urban,Many,"Rooftop Solar PV  shows highst reduction Energy Use, and Carbon Dioxide Emissions only.                                                                                                                                                                                      Green Roofs have equal reductions on Water Management, Energy Use, and Carbon Dioxide Emissions.                                                                                                                                                       Retrofitted Windows have higher reduction Energy Use, and Carbon Dioxide Emissions only.                                                                                                                                                                                                                                                                                Permeable Pavements have higher reduction on Water Management only."
11,,,,,,,,,Air,Carbon Oxides,,,Permeable Pavement,,,
12,https://doi.org/10.1016/j.scitotenv.2020.138061,https://doi.org/10.1016/j.scitotenv.2020.138061,Can nature-based solutions contribute to water security in Bhopal?,2020,India,Bhopal,23.1395,77.4086,Water,Other,Measurement,Months,Water Structure,Rural,Many,"4.26% fell into a ‘very high’ groundwater potential class.                                                                                                                                                                                                                                                  29.29% fell into a ‘high’ groundwater potential  class.
45.79%fell into a ‘moderate’ groundwater potential class.                                                                                                                                                                                                                                          
20.64%,fell into a ‘low’ groundwater potential class."
13,https://doi.org/10.1016/j.geoforum.2020.07.011,https://doi.org/10.1016/j.geoforum.2020.07.011,Scaling-up nature-based solutions. Lessons from the Living Melbourne strategy,2020,Australia,Melbourne,-37.8136,144.9631,Air,Other,Measurement,Months,Green Façade,Urban,Many,"Encouraging incrased in return of Biodiversity lost (+5.53 % compared to previous year).                                                                                                                                                                                  Significant reduction in Air pollution, Heat Waves, Flooding, Droughts(-31.85 % compared to previous year) .                                                                                                                                              
Signifacant incrased in Residents' health and wellbeing (-25.15 % compared to previous year)"
13,,,,,,,,,Water,Flooding,,,Green Space,,,
13,,,,,,,,,Heat,Thermal Comfort,,,,,,
13,,,,,,,,,Other,Ecology,,,,,,
14,https://libraetd.lib.virginia.edu/public_view/pz50gw51d,https://doi.org/10.18130/V3HT2GB5P,Evaluating Nature-Based Solutions to Storm Wave Impacts in the Virginia Coast Reserve,2018,USA,Richmond,37.5408,-77.4339,Water,Erosion,Measurement,Months,Water Structure,Coastal,Many,Constructed oyster reefs were effective at dampening waves up to 46% when water levels were low to moderate (< mean water depth);                                                                                                          Marsh vegetation was found to dampen waves by an average of 78% over a 20-meter marsh transect when water depths were high enough to flood the marsh.                                                                                    These results suggest that combining constructed oyster reefs with marsh vegetation may offer effective and sustainable long-term reduction in marsh vulnerability.
15,https://www.researchgate.net/publication/309220469_Linear_Parks_along_Urban_Rivers_Perceptions_of_Thermal_Comfort_and_Climate_Change_Adaptation_in_Cyprus,http://dx.doi.org/10.3390/su8101023,Linear Parks along Urban Rivers: Perceptions of Thermal Comfort and Climate Change Adaptation in Cyprus,2016,Cyprus,Nicosia,35.1667,33.3667,Water,Flooding,Measurement,Months,Green Space,Urban,Single,"Relatively low cooling effect (0,5 Celcius) in early morning and afternoon hours, Flood protection not recognised"
15,,,,,,,,,Heat,Thermal Comfort,,,,,,
16,https://www.sciencedirect.com/science/article/pii/S0048969720316958,https://doi.org/10.1016/j.scitotenv.2020.138182,Using green to cool the grey: Modelling the cooling effect of green spaces with a high spatial resolution,2020,Portugal,Almada,38.6757,-9.165,Heat,Thermal Comfort,Modelling,Months,Green Space,Urban,Single," green spaces with reduced areas can regulate microclimate, alleviating temperature by 1–3 °C and increasing moisture by 2–8%, on average."
17,https://www.researchgate.net/publication/342674454_Experimental_Assessment_of_the_Flow_Resistance_of_Coastal_Wooden_Fences,http://dx.doi.org/10.3390/w12071910,Experimental Assessment of the Flow Resistance of Coastal Wooden Fences,2020,Vietnam,Can Tho,10.0936,106.2383,Water,Erosion,Modelling,N/A,Water Structure,Coastal,Single,Bulk drag coefficient strongly dependent on the fence’s porosity; Greater specific surface area of fence increase laminar drag and thus increasing drag coefficient
18,https://www.sciencedirect.com/science/article/pii/S1618866717304119?via%3Dihub,https://doi.org/10.1016/j.ufug.2018.01.018,Subjective perception of noise exposure in relation to urban green space availability,2018,Poland,Łódź,51.7591,19.4586,Noise,Noise Reduction,Measurement,N/A,Green Space,Urban,Many,noise perception related to green space availability is small but statistically significant
19,https://www.sciencedirect.com/science/article/pii/S0048969719354804?via%3Dihub,https://doi.org/10.1016/j.scitotenv.2019.135487,Creating urban green infrastructure where it is needed - A spatial ecosystem service-based decision analysis of green roofs in Barcelona,2020,Spain,Barcelona,41.3879,2.1699,Heat,Thermal Comfort,Modelling,N/A,Green Roof,Urban,Many,"Demand for ecosystem services that green roofs potentially might provide, particularly in dense residential neighborhoods"
19,,,,,,,,,Water,Flooding,,,,,,
19,,,,,,,,,Other,Other,,,,,,
20,https://onlinelibrary-wiley-com.elib.tcd.ie/doi/full/10.1002/ldr.3102,https://doi.org/10.1002/ldr.3102,Green roofs: Effects of plant species used on runoff,2018,China,Qibao,31.1578,121.3514,Water,Flooding,Measurement,Years,Green Roof,Urban,Single,Water retention capacity（From best to worst）：A. stolonifera、L. perenne and P.、F. arundinacea、S. lineare and C. repens
21,https://www-sciencedirect-com.elib.tcd.ie/science/article/pii/S0013935117308939?via%3Dihub,https://doi.org/10.1016/j.envres.2017.05.016,Hydro-dam - A nature-based solution or an ecological problem: The fate of the Tonle Sap Lake,2017,China,Siem Reap District,13.3333,103.8333,Water,Other,Modelling,Years,Water Structure,Rural,Single,lake open water area decrease; Water flow decrease;
22,https://www.mdpi.com/2071-1050/11/22/6361,https://doi.org/10.3390/su11226361,Planning Nature-Based Solutions for Urban Flood Reduction and Thermal Comfort Enhancement,2019,Thailand,Din Daeng District,13.7895,100.5666,Heat,Thermal Comfort,Modelling,Years,Green Roof,Urban,Many,Effectiveness: Rain Garden> Green Roof> BioRetention> Permeable Pavement
22,,,,,,,,,Water,Flooding,,,Permeable Pavement,,,
22,,,,,,,,,,,,,Vegetation,,,
22,,,,,,,,,,,,,Other,,,
23,https://pdxscholar.library.pdx.edu/cgi/viewcontent.cgi?article=1247&context=usp_fac,https://doi.org/10.3390/atmos10050282,"Nature-Based Designs to Mitigate Urban Heat: The Efficacy of Green Infrastructure Treatments in Portland, Oregon",2019,USA,Portland,45.5200,-122.6819,Heat,Thermal Comfort,Modelling,Years,Green Roof,Urban,Many,Effectiveness: Combination> More Trees> GreenRoof
23,,,,,,,,,,,,,Green Space,,,
24,https://doi.org/10.1088/1748-9326/ab502c,https://doi.org/10.1088/1748-9326/ab502c,A green infrastructure spatial planning model for evaluating ecosystem service tradeoffs and synergies across three coastal megacities,2019,USA,New York,40.7130,-74.0072,Water,Flooding,Modelling,Years,Green Space,Urban,Many,"1. Managing stormwater
2. Reducing social vulnerability
3. Increasing access to green space
4 Reducing urban heat island effect (UHI)
5. Improving air quality
6. Increasing landscape connectivity"
24,,,,,,Los Angeles,34.0522,-118.2433,,Human Health,,,Vegetation,,,
24,,,,,Phillippines,Manila,14.5823,120.9748,,,,,,,,
25,https://doi.org/10.1061/(ASCE)HY.1943-7900.0001659,https://doi.org/10.1061/(ASCE)HY.1943-7900.0001659,Knowledge-Based Predictive Tools to Assess Effectiveness of Natural and Nature-Based Solutions for Coastal Restoration and Protection Planning,2018,USA,Baton Rouge,30.4495,-91.0934,Water,Flooding,Modelling,N/A,Water Structure,Coastal,Single,"1. Retains sediment and nourishes marsh 
2. Creates new land + nourish existing land with fine sediments
3. Influence innundation and salinity "
25,,,,,,,,,,Erosion,,,,,,
25,,,,,,,,,,Ecology,,,,,,
26,https://doi.org/10.1002/hyp.11140,https://doi.org/10.1002/hyp.11140,"A modelling framework for evaluation of the hydrological impacts of nature‐based approaches to flood risk management, with application to in‐channel interventions across a 29‐km2 scale catchment in the United Kingdom",2017,UK,Thirsk,54.2325,-1.3428,Water,Flooding,Modelling,Days,Water Structure,Rural,Single,In-channel barriers insfficient to reduce peak discharge  in stormwater runoffs
27,http://dx.doi.org/10.1098/rsta.2019.0320,http://dx.doi.org/10.1098/rsta.2019.0320,Potential and limitation of air pollution mitigation by vegetation and uncertainties of deposition-based evaluations,2020,UK,Sheffield,53.3836,-1.4669,Air,Ozone,Modelling,Years,Vegetation,Urban,Many,"lowering pollution (30% (22%) for SO2, 24% (19%) for NH3 and 15% (13%)
for O3),urban concentration by 1%,Emission reduction"
27,,,,,,,,,,Other,,,,,,
28,https://www.researchgate.net/publication/334158113_Groundwater_and_River_Flooding_The_Importance_of_Wetlands_in_Coastal_Zones,http://dx.doi.org/10.2112/SI92-006.1,Groundwater and River Flooding: The Importance of Wetlands in Coastal Zones,2019,Mexico,Córdoba,18.8942,-96.9347,Water,Flooding,Measurement,Years,Wetlands,Coastal,Many,"divert water during extreme events,reduce flood impact,proper city planning"
29,https://doi.org/10.1016/j.envint.2019.104945,https://doi.org/10.1016/j.envint.2019.104946,Phytoremediation: Climate change resilience and sustainability assessment at a coastal brownfield redevelopment,2019,USA,Mill Valley,37.9067,-122.5475,Water,Ecology,Modelling,Years,Vegetation,Coastal,Many,slower plume migration and life cycle primary impact
30,https://doi.org/10.1016/j.ibiod.2020.105084,https://doi.org/10.1016/j.ibiod.2020.105085,Functional attributes and response of bacterial communities to nature-based fertilization during hydrocarbon remediation,2020,Nigeria,Port Harcourt,4.7715,7.0143,Other,Ecology,Measurement,Months,Other,Rural,Single,"improved bacterial diversity and richness,nutrient balance,favourable pH .TPH reduction(70.44%),TPH reduction(61%)"
31,https://doi.org/10.1016/j.ecoleng.2018.05.017,https://doi.org/10.1016/j.ecoleng.2018.05.018,Living shorelines enhance nitrogen removal capacity over time,2018,USA,Morehead City,34.7278,-76.7467,Other,Water Quality,Measurement,Months,Wetlands,Coastal,Many,"protect shorelines ,Denitrification efficiency >50%,negligible  N2O fluxes ,"
32,https://link.springer.com/chapter/10.1007/978-3-319-77682-8_5,https://doi.org/10.1007/978-3-319-77682-8_5,Increasing Hydrological Resilience Employing Nature-Based Solutions: A Modelling Approach to Support Spatial Planning,2018,Italy,Bari,41.1259,16.8721,Water,Water Quality,Modelling,N/A,Green Roof,Urban,Many,"Initially, the combined sewer system was not capable of managing all the volume during heavy precipitation events.
The NBS helped drainage network adequately manage storm water runoff efficiently."
32,,,,,,,,,,Flooding,,,Permeable Pavement,,,
32,,,,,,,,,,,,,Water Structure,,,
33,https://www.sciencedirect.com/science/article/pii/S1352231019307629,https://doi.org/10.1016/j.atmosenv.2019.117123,Re-Naturing Cities: Evaluating the effects on future air quality in the city of Porto,2020,Portugal,Porto,41.1502,-8.6103,Air,Particulate Matter,Measurement,Years,Green Space,Urban,Many,"Temperature: -0.5 to -1 C
Green roofs and increased albedo: PM10 +0.6 to +1.5% ; NO2 +0.8% to 3.5% ; O3:  both increment and decrement variation with time od the day (no change in O3 for green roofs setting)
Green Urban Areas: PM10: -1% ; NO2 -3% ; O3 increased "
33,,,,,,,,,,Nitrogen Oxides,,,Green Roof,,,
33,,,,,,,,,,Ozone,,,,,,
34,https://www.sciencedirect.com/science/article/pii/S1352231018304977,https://doi.org/10.1016/j.atmosenv.2018.07.044,Impacts of green infrastructures on aerodynamic flow and air quality in Porto's urban area,2018,Portugal,Porto,41.1502,-8.6103,Air,Particulate Matter,Modelling,Years,Green Space,Urban,Many," NOx -19% ; PM10 -16%
Increase of pollutants in certain hotspot areas (as high as +60%) "
34,,,,,,,,,,Nitrogen Oxides,,,Green Roof,,,
35,https://www.mdpi.com/2220-9964/9/7/461,https://doi.org/10.3390/ijgi9070461,"Spatiotemporal Variation of Urban Heat Islands for Implementing Nature-Based Solutions: A Case Study of Kurunegala, Sri Lanka",2020,Sri Lanka,Kurunegala,7.4833,80.3667,Heat,Thermal Comfort,Measurement,Years,Green Space,Urban,Many,"Reduction in Temperature
Lower temperature in areas with less grey infrastructure (peri-urban areas) as compared to areas with more grey infrastructure (city)"
35,,,,,,,,,,,,,Green Roof,,,
35,,,,,,,,,,,,,Green Façade,,,
35,,,,,,,,,,,,,Other,,,
36,https://www.sciencedirect.com/science/article/abs/pii/S0925857420300999,https://doi.org/10.1016/j.ecoleng.2020.105811,Evaluation of the factors influencing the treatment performance of a livestock constructed wetland,2020,South Korea,Nonsan,36.2000,127.0833,Water,Water Quality,Experiment,Months,Wetlands,Rural,Single,"Reduction of turbidity (52% to 81%), TSS (61 to 82%), organics (34% to 50%), nutrients (10% to 48%), BOD (80%), COD(86%). However, further treatment is required."
37,https://www.semanticscholar.org/paper/Water-Purifying-Capacity-of-Natural-Riverine-in-to-Sileshi-Awoke/3d96708bba4f190eb5bdc407873dc1c29d7621a4,https://doi.org/10.3389/fenvs.2020.00039,Water Purifying Capacity of Natural Riverine Wetlands in Relation to Their Ecological Quality,2020,Ethiopia,Jimma,7.6785,36.8384,Water,Water Quality,Measurement,Years,Wetlands,Freshwater,Many,Total Nitrogen: -18%; BOD: -88%; DO: +35%      Taxarichness (macro): +52.6%; Ethbios index: +100%; Shannon Diversity (macro): +40%; Shannon Diversity (diatom): +8%; Taxarichness (diatom): +50%; Percent of tolerant species: -13%
38,https://www.mdpi.com/2071-1050/12/15/5967,https://doi.org/10.3390/su12155967,Spatial Compatibility of Implementing Nature-Based Solutions for Reducing Urban Heat Islands and Stormwater Pollution,2020,Germany,Mitte,52.5167,13.3667,Water,Water Quality,Modelling,Years,Vegetation,Urban,Many,2270/14000 buildings or streets showed spatial matching of Urban heat island index and Stormwater pollution
38,,,,,,,,,Heat,Thermal Comfort,,,Wetlands,,,
39,https://iopscience-iop-org.elib.tcd.ie/article/10.1088/1748-9326/ab1827,https://doi.org/10.1088/1748-9326/ab1827,Optimizing wetland restoration to improve water quality at a regional scale,2019,USA,Burlington,44.4758,-73.2119,Water,Water Quality,Modelling,Years,Wetlands,Rural,Many,"Twice the phosphorus reduction in wetlands, agricultural lands"
40,https://www.mdpi.com/2071-1050/12/3/1240,https://doi.org/10.3390/su12031240,"Implementation of Nature-Based Solutions for Hydro-Meteorological Risk Reduction in Small Mediterranean Catchments: The Case of Portofino Natural Regional Park, Italy",2019,Italy,Genoa,44.4111,8.9328,Water,Flooding,Modelling,N/A,Other,Coastal,Many,Mitigation of hydro-meteorological risk
40,,,,,,,,,,Erosion,,,,,,
41,Comprehending the multiple ‘values’ of green infrastructure – Valuing nature-based solutions for urban water management from multiple perspectives - ScienceDirect (tcd.ie),https://doi.org/10.1016/j.envres.2017.05.043,Comprehending the multiple 'values' of green infrastructure - Valuing nature-based solutions for urban water management from multiple perspectives,2017,UK,Sheffield,53.3836,-1.4669,Water,Flooding,Modelling,Years,Green Space,Urban,Many,"Enhanced habitat, better recreational value, improved flood risk management"
41,,,,,,,,,,,,,Green Roof,,,
42,Nature based measures increase freshwater biodiversity in agricultural catchments - ScienceDirect (tcd.ie),https://doi.org/10.1016/j.biocon.2020.108515,Nature based measures increase freshwater biodiversity in agricultural catchments,2020,UK,Skeffington,52.6166,-0.9082,Other,Ecology,Measurement,Years,Water Structure,Rural,Many,"To intercept pollutants, store water and promote biodiversity"
43,Understanding the relationship between urban blue infrastructure and land surface temperature - ScienceDirect (tcd.ie),https://doi.org/10.1016/j.scitotenv.2019.133742,Understanding the relationship between urban blue infrastructure and land surface temperature,2019,China,Wuhan,30.5833,114.2833,Heat,Thermal Comfort,Measurement,Months,Water Structure,Urban,Many,Improve urban thermal environment
44,https://journal.hep.com.cn/laf/EN/article/downloadArticleFile.do?attachType=PDF&id=27948,http://dx.doi.org/10.15302/J-LAF-1-020028,"Mitigation of Urban Heat Island Effect with Small-Scale Parks - An Empirical Study on Community Parks in Nanjing, Jiangsiu Province",2020,China,Yancheng,33.3833,120.1167,Heat,Thermal Comfort,Modelling,N/A,Green Space,Urban,Many,Improve urban thermal environment
45,https://onlinelibrary.wiley.com/doi/10.1002/ldr.3305,https://doi.org/10.1002/ldr.3305,The potential of straw mulch as a nature-based solution for soil erosion in olive plantation treated with glyphosate: A biophysical and socioeconomic assessment,2020,Spain,Llanera de Ranes,38.9944,-0.5753,Other,Erosion,Measurement,Years,Other,Rural,Single,Soil erosion can be controlled by using Straw mulch 
46,https://www.mdpi.com/2071-1050/12/2/565,https://doi.org/10.3390/su12020565,"Nature-Based Solution for Reducing CO2 Levels in Museum Environments: A Phytoremediation Study for the Leonardo da Vinci's ""Last Supper""",2020,Italy,Santa Maria delle Grazie,45.4658,9.1711,Air,Carbon Oxides,Measurement,Years,Green Space,Urban,Single,Increasing the sustainability of air-tight museum environments
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
